part_id,kit_id,required_quantity
PART_08,KIT_0020_02,134
PART_08,KIT_0024_01,136
PART_08,KIT_0024_02,134
PART_08,KIT_0028_01,196
PART_09,KIT_0004_01,600
PART_09,KIT_0004_02,600
PART_09,KIT_0008_01,650
PART_09,KIT_0008_02,650
PART_09,KIT_0012_01,1000
PART_09,KIT_0016_01,780
PART_09,KIT_0016_02,770
PART_09,KIT_0025_01,600
PART_09,KIT_0025_02,600
PART_09,KIT_0029_01,630
PART_09,KIT_0029_02,620
PART_10,KIT_0005_01,360
PART_10,KIT_0005_02,360
PART_10,KIT_0009_01,450
PART_10,KIT_0009_02,450
PART_10,KIT_0013_01,420
PART_10,KIT_0013_02,420
PART_10,KIT_0017_01,378
PART_10,KIT_0017_02,372
PART_10,KIT_0021_01,300
PART_10,KIT_0021_02,300
PART_10,KIT_0030_01,498
PART_10,KIT_0030_02,492
